50 -47 55 15 89 -38 113 -64 27 65 -10 39 27 83 -2 -34 114 -75 -8 73 8 61 -30 108 -61 21 96 -11 -66 116 -9 -14 -13 106 52 -27 106 33 -31 97

6 27 -12 96 -9 -3 102 -9 -42 102 9 -12 9 78 48 -27 108 -9 -15 87 24 -9 33 51 45 -30 111 -54 3 75 0 33 9 87 -6 -18 108 -45 -24 87

-26 71 -13 123 -50 -10 106 -35 -48 97 16 21 -30 100 -13 13 96 21 -58 116 7 -46 27 66 100 -51 114 -7 9 73 42 -7 55 23 41 -30 113 -96 19 65

9 -12 9 78 48 -27 108 -9 -15 87 24 -9 33 51 45 -30 111 -54 3 75 0 33 9 87 -6 -18 108 -45 -24 87 6 27 -12 96 -9 -3 102 -9 -42 102

9 -12 9 78 48 -27 108 -9 -15 87 24 -9 33 51 45 -30 111 -54 3 75 0 33 9 87 -6 -18 108 -45 -24 87 6 27 -12 96 -9 -3 102 -9 -42 102

-26 71 -13 123 -50 -10 106 -35 -48 97 16 21 -30 100 -13 13 96 21 -58 116 7 -46 27 66 100 -51 114 -7 9 73 42 -7 55 23 41 -30 113 -96 19 65

6 27 -12 96 -9 -3 102 -9 -42 102 9 -12 9 78 48 -27 108 -9 -15 87 24 -9 33 51 45 -30 111 -54 3 75 0 33 9 87 -6 -18 108 -45 -24 87

50 -47 55 15 89 -38 113 -64 27 65 -10 39 27 83 -2 -34 114 -75 -8 73 8 61 -30 108 -61 21 96 -11 -66 116 -9 -14 -13 106 52 -27 106 33 -31 97

50 -47 55 15 89 -38 113 -64 27 65 -10 39 27 83 -2 -34 114 -75 -8 73 8 61 -30 108 -61 21 96 -11 -66 116 -9 -14 -13 106 52 -27 106 33 -31 97

6 27 -12 96 -9 -3 102 -9 -42 102 9 -12 9 78 48 -27 108 -9 -15 87 24 -9 33 51 45 -30 111 -54 3 75 0 33 9 87 -6 -18 108 -45 -24 87

-26 71 -13 123 -50 -10 106 -35 -48 97 16 21 -30 100 -13 13 96 21 -58 116 7 -46 27 66 100 -51 114 -7 9 73 42 -7 55 23 41 -30 113 -96 19 65

9 -12 9 78 48 -27 108 -9 -15 87 24 -9 33 51 45 -30 111 -54 3 75 0 33 9 87 -6 -18 108 -45 -24 87 6 27 -12 96 -9 -3 102 -9 -42 102

